Date,Feedback,Label,Compound_Score,Clean_data
30-Mar-23,I hope you make online payment to avoid gatherings when paying,Neutral,0.1779,hope make online payment
12-May-23,I have mixed feelings about the service; it varies from month to month.,Neutral,0,mixed feeling service
01-Jun-23,The ISELCO staff are always courteous and professional in their interactions.,Positive,0.5106,staff always courteous professional interaction
01-Jun-23,I appreciate the prompt response,Positive,0.4019,appreciate prompt response
02-Jun-23,The billing process is straightforward and easy to understand.,Positive,0.4404,billing process straight forward easy understand
07-Jun-23,ISELCO commitment to customer satisfaction is commendable.,Positive,0.6705,commitment customer satisfaction commendable
08-Jun-23,The staff at ISELCO are always willing to provide clear explanations.,Positive,0.3818,staff provide clear explanation
12-Jun-23,I hope to see better communication from ISELCO regarding outages and their causes.,Neutral,0.7003,hope see good communication
14-Jun-23,"The service is acceptable, but more transparency and updates are better",Positive,0.6705,service acceptable
15-Jun-23,I have mixed feelings about the service,Neutral,0,mixe feeling service
26-Jun-23,"service is adequate, there is still room for improvement",Neutral,0.5994,service adequate
27-Jun-23,Improve collector attentiveness,Neutral,0.4404,improve collector attentiveness
12-Jul-23,They fix the power lines,Negative,0,fix power line
12-Jul-23,I hope everything goes well Iselco,Positive,0.6124,hope everything well iselco
12-Jul-23,Only accomplishment I would like is consistent electricity.,Neutral,0.3612,accomplishment would like consistent electricity
12-Jul-23,you should cut down trees or branches that is hindrance to electric wires,Negative,-0.5859,tree branch hindrance electric wire
12-Jul-23,we also hope for online bills payment,Neutral,0.4404,hope online bill payment
12-Jul-23,Iselco Service is better,Positive,0.4404,iselco service well
12-Jul-23,"I have noticed some improvements, but there is still room for growth.",Positive,0.6187,notice improvement
12-Jul-23,The service is adequate,Positive,0.2263,service adequate
12-Jul-23,"The billing process is fine, but I have questions about certain charges.",Neutral,0,billing process fine
12-Jul-23,service is reliable,Positive,0,service reliable
13-Jul-23,I am waiting for a response regarding my recent inquiry about my bill.,Neutral,0,respond inquiry bill
13-Jul-23,I have noticed significant improvements in the service quality,Positive,0.4767,notice improvement service quality
13-Jul-23,hotline staff are very knowledgeable and helpful,Positive,0.4703,hotline staff helpful
13-Jul-23,ISELCO regular updates are greatly appreciated.,Positive,0.5563,regular update greatly appreciate
13-Jul-23,"The service provided is reliable, and I have peace of mind",Positive,0.5423,service provide reliable peace mind
13-Jul-23,The customer service representatives are attentive,Positive,0,customer service representative attentive
13-Jul-23,explain why there is a power shortage every night,Negative,-0.25,explain power shortage every night
27-Jul-23,Properly addresses cotumer inquiries,Positive,0,properly address costumer inquiry
10-Aug-23,"check our cable lines, every night there is a power shortage",Negative,-0.25,cable line everynight power shortage
20-Sep-23,Fix high electric billing,Negative,0,high electric billing
20-Sep-23,Your day is not complete without brown out.,Negative,0,day brownout
27-Sep-23,The company is quick to respond and address customer concerns.,Positive,0,quick respond customer concern
11-Dec-23,Thank you for helping. Please keep safe and may God bless you,Positive,0.9153,thank help keep safe god bless
11-Dec-23,good luck and take care iselco warriors,Positive,0.8442,good luck take care iselco warrior
11-Dec-23,remember the love and support of your family that gave you strength and courage. God bless,Positive,0.9531,love support family strength courage god bless
11-Dec-23,Your help is a great thing to facilitate the return of electricity to the entire province,Positive,0.7783,great thing facilitate return electricity
04-Mar-24,"Thank you very much, keep safe linemen, God bless",Positive,0.8612,thank much keep safe linemen god bless
04-Mar-24,Thank you very much to our linemen,Positive,0.3612,thank much linemen
08-Mar-24,Always be careful and your work is not easy,Positive,-0.2037,always careful work
08-Mar-24,Thank you so much to those in charge of iselco,Positive,0.3612,thank much
08-Mar-24,Iselco gave relief goods to Capitol. Thank you so much Iselco and the donors,Positive,0.6808,thank much iselco donor
08-Mar-24,The company shows great concern for their customers.,Positive,0.6249,company show great concern
19-Mar-24,Company high power rate is not justified,Negative,-0.3089,high power rate not justified
22-Mar-24,ISELCO has dependable electrical supply and much appreciated.,Positive,0.5106,dependable electrical supply appreciate
23-Mar-24,A lot of unscheduled power interruption,Negative,-0.3612,unscheduled power interruption
27-Mar-24,ISELCO deserves praise for keeping their office in a welcoming and approachable environment.,Positive,0.7579,approachable environment
27-Mar-24,Be transparent in ratings of your costumer,Neutral,0,transparent rating costumer
27-Mar-24,The customer service personnel are very approachable and respond well to inquiries,Positive,0.2732,personnel approachable
27-Mar-24,Cotumer service always takes calls,Positive,0,cotumer service always take call
27-Mar-24,No one is answering our call,Negative,-0.296,no one answer call
30-Mar,The admin is very responsive and attentive to customer needs.,Positive,0.4201,admin responsive
31-Mar-24,"No apology or notice, please confirm your scheduled brown out",Negative,0.2851,no apology notice
31-Mar-24,On the spot advisory,Neutral,0,spot advisory
09-Apr-24,I hope you adhere to time frame to improve the effectiveness of advisory.,Neutral,0.7003,improve effectiveness advisory
09-Apr-24,You should post advisory in advance,Neutral,0,post advisory advance
09-Apr-24,"no alternative electricity provider, hoping you have been preparing for this",Neutral,0.1531,no alternative electricity provider
09-Apr-24,"No alternative, no choice",Neutral,-0.0803,no alternative no choice
09-Apr-24,No notice of the increase in rate,Negative,0.0258,no notice increase rate
09-Apr-24,we should understand the linemen because they are poor.,Neutral,-0.4767,understand linemen
10-Apr-24,I hope for improvements soon.,Neutral,0.6369,hope improvement soon
16-Apr-24,"Add more of your hotline, no one is answering",Negative,-0.296,hotline no one answer
16-Apr-24,Good job on your service,Positive,0.4404,good job service
16-Apr-24,I hope the surcharge will also be removed,Neutral,0.4404,hope surcharge also remove
16-Apr-24,better when you do not conduct brownout,Neutral,0.4404,not conduct brownout
16-Apr-24,I need clarity on charges.,Neutral,0.1531,need clarity charge
16-Apr-24,ISELCO billing process is transparent and efficient,Positive,0.4215,billing process transparent efficient
16-Apr-24,It is good to see a business that values precision and clarity.,Positive,0.8074,value precision clarity
16-Apr-24,"needed assistance with an electrical issue, and staff at ISELCO was incredibly helpful.",Positive,0.4754,staff incredibly helpful
16-Apr-24,Thank you for taking our request on where the pole should be placed,Positive,0.3612,thank take request
16-Apr-24,The customer service personnel are very approachable and responsive.,Positive,0.4144,customer service personnel approachable
16-Apr-24,customer support representatives truly stood out for their professionalism and politeness,Positive,0.6808,customer support representative truly stood professional polite
16-Apr-24,The customer service representatives are very friendly and helpful.,Positive,0.762,customer service representative friendly helpful
16-Apr-24,Very accommodating hotline,Positive,0,accommodating hotline
17-Apr-24,Very accommodating and responsive hotline,Positive,0.4144,accommodating responsive hotline
17-Apr-24,Thankyou ISELCO for line maintenance and good service to the consumer,Positive,0.4404,thank good service
17-Apr-24,Hotline is always available,Positive,0,hotline always available
18-Apr-24,"Well done ISELCO, Keep up the good work",Positive,0.6124,keep good work
18-Apr-24,Line maintenance is always prioritized,Positive,0,maintenance always prioritize
18-Apr-24,Hotline agents are very kind,Positive,0.5709,hotline kind
18-Apr-24,"Giving their best at all time, salute to ISELCO line men",Positive,0.765,salute iselco linemen
18-Apr-24,Responsive hotline,Positive,0.3612,responsive hotline
18-Apr-24,The hotline is very kind especially Josiah Ramirez,Positive,0.5709,hotline kind
18-Apr-24,Linemen were quick to respond in our request,Positive,0,linemen quick respond
18-Apr-24,"Warriors of the light, bringing light to the marginalized and the poor, salute iselco",Positive,-0.4767,salute iselco
18-Apr-24,Take care always line warriors,Positive,0.4939,take care always
18-Apr-24,"warriors of the light, salute iselco",Positive,0,salute iselco
18-Apr-24,Hotline is always available and agents are kind,Positive,0.5267,hotline always available
18-Apr-24,"Your hotline is super helpful, keep it up",Positive,0.7717,hotline helpful
21-Apr-24,ISELCO hotline is very helpful,Positive,0.4754,hotline helpful
21-Apr-24,"Salute to the hotline, agents are very kind",Positive,0.5709,salute hotline agent kind
21-Apr-24,Hotline is always available and best electric provider and approachable agents,Positive,0.6369,hotline always available
24-Apr-24,i hope the electricity will come back,Neutral,0.4404,hope electricity come back
24-Apr-24,Thank you ISELCO there is electricity,Positive,0.3612,thank iselco
02-May-24,"Take care always line warriors, God bless",Positive,0.7964,take care always line warrior god bless
02-May-24,"Always be safe, especially line warriors",Positive,0.4404,always safe
03-May-24,do not conduct brownout on school days,Negative,0,brownout school day
05-May-24,Thank you for the prompt action.,Positive,0.3612,thank prompt action
05-May-24,"I am satisfied of their services. thank you for your hardwork, ISELCO",Positive,0.6486,satisfied service thank hardwork
05-May-24,I am very satisfied in your service,Positive,0.4754,satisfied service
05-May-24,They are very approachable,Positive,0,approachable
05-May-24,Very accommodating staff.,Positive,0,accommodate staff
05-May-24,"Congratulations to ISELCO hotline, big help",Positive,0.765,congratulation hotline big help
05-May-24,"Action quickly, even when they are busy",Positive,0,act quickly
06-May-24,Customer service representatives are polite,Positive,0,customer service representative polite
06-May-24,Take care always for the line man,Positive,0.4939,take care always line man
06-May-24,Admin is very responsive,Positive,0.4201,admin responsive
06-May-24,The admin of your page is responsive,Positive,0.3612,admin page responsive
06-May-24,Keep it up ISELCO team. God bless you,Positive,0.5994,keep iselco team god bless
08-May-24,Their service is beyond excellent. They are very responsive.,Positive,0.7574,service excellent responsive
08-May-24,Very responsive when it comes to costumer concerns,Positive,0.4201,responsive costumer concern
08-May-24,Very responsive in private message. Excellent service!,Positive,0.7773,excellent service
08-May-24,Very responsive admin and even contacted me for an update,Positive,0.4201,responsive admin
08-May-24,Very responsive,Positive,0.4201,responsive
08-May-24,They response immediately if you have queries,Positive,0,response immediately query
08-May-24,Quick response in the chat box. The facebook page is very effective,Positive,0.5256,quick response
08-May-24,"No improvement, always brown out",Negative,-0.357,no improvement always brownout
08-May-24,Always brownout and service is not improving,Negative,-0.3252,always brownout service not improve
13-Jun-24,"It is still brownout every night, we are used to it",Negative,0,still brownout everynight
17-Jul-24,Kudos to the ISELCO team for their excellent line maintenance.,Positive,0.7906,excellent line maintenance
17-Jul-24,Your staff is very professional and knowledgeable,Positive,0,staff professional
17-Jul-24,I am very satisfied with the service; keep up the great work.,Positive,0.8016,satisfied service keep great work
18-Jul-24,The quick response from the hotline made resolving my issue so easy.,Positive,0.7462,quick response hotline
19-Jul-24,ISELCO provides reliable service that I can count on every day.,Positive,0,reliable service
20-Jul-24,Concerns are emmidiately resolved,Positive,0.1779,concern emmidiately resolve
21-Jul-24,Thank you for the early resolve of our problem,Positive,0.34,thank early resolve problem
21-Jul-24,Very attentive,Positive,0,attentive
23-Jul-24,They responded fast in our concern,Positive,0,respond fast concern
24-Jul-24,brownout but there is no rain,Negative,-0.4215,brownout
26-Jul-24,paid a disconnection fee,Neutral,0,paid disconnection fee
26-Jul-24,The company private message service is excellent,Positive,0.5719,private message service excellent
27-Jul-24,Please improve the service,Negative,0.6369,please improve service
27-Jul-24,I hope you schedule brownout.,Neutral,0.4404,hope schedule brownout
27-Jul-24,Fix your update,Negative,0,fix update
27-Jul-24,"I will respect you Iselco, thanks for the notice",Positive,0.7184,respect iselco thanks notice
27-Jul-24,The ISELCO provides the best services for their customers,Positive,0.6369,provide best service customer
27-Jul-24,Thank you iselco for the fast repair,Positive,0.3612,thank fast repair
27-Jul-24,It is okay to increase the bill if the service is good.,Positive,0.7269,service good
27-Jul-24,Thank you for the good service Iselco,Positive,0.6597,thank good service
28-Jul-24,Be careful with the linemen even if the Iselco service is not good,Negative,-0.2037,service not good
28-Jul-24,Beware Iselco.,Neutral,0,beware iselco
28-Jul-24,"It is hot, the weather is beautiful, brown out",Neutral,0.5994,hot weather
30-Jul-24,"I hope in your updates, include also the time when the electricity will be back",Neutral,0.4404,hope update
30-Jul-24,The hotline is always available and easy to reach.,Positive,0.4588,hotline always available
30-Jul-24,give us complete information when conducting brownout,Positive,0,complete information
30-Jul-24,You should notify us ahead of time,Neutral,0,notify ahead time
30-Jul-24,You should announce it right away when brownout happens,Negative,0,announce right away brownout happen
31-Jul-24,Thank you for consistent service,Positive,0.3612,thank consistent service
31-Jul-24,It is good to conduct clean up,Positive,0.6808,good conduct clean
31-Jul-24,Please fix the power lines,Neutral,0.3182,fix power line
31-Jul-24,YOU REALLY REPAIR AT NIGHT,Neutral,0,repair night
31-Jul-24,you need to upgrade your utilities.,Neutral,0,need upgrade utility
02-Aug-24,"As long as ISELCO, the service is good",Positive,0.4404,service good
02-Aug-24,Staffs makes an effort to respond in customer inquiries,Positive,0,staff respond customer inquiry
02-Aug-24,The company is able to quickly resolve customer issues.,Positive,0.3818,quick resolve customer issue
02-Aug-24,Good service but frequent brownouts are annoying,Negative,-0.3818,frequent brownout annoy
02-Aug-24,Excellent service,Positive,0.5719,excellent service
02-Aug-24,"Since then and now, service is still bad",Negative,-0.5423,service bad
02-Aug-24,The customer service is beyond excellent.,Positive,0.5719,customer service excellent
02-Aug-24,"Very poor costumer service, request is always pending",Negative,-0.5256,poor costumer service
02-Aug-24,Power interuptions without any signs of problem,Negative,-0.4019,power interuptions without problem
02-Aug-24,"Power shortage happens constantly, fix it ISELCO",Negative,-0.25,power shortage constantly
02-Aug-24,Good costumer service and very kind staff specially in hotlines,Positive,0.7645,good costumer service kind staff
02-Aug-24,Good costumer service,Positive,0.4404,good costumer service
02-Aug-24,Always power interruption,Negative,-0.5423,always power interruption
02-Aug-24,You act so slow,Negative,-0.5423,act slow
02-Aug-24,constant brownout and the bill will increase.,Negative,0.3182,constant brownout bill increase
02-Aug-24,"Iselco, you are always so stressful",Negative,-0.6418,always stressful
02-Aug-24,"That is it, your service is always unchanged",Negative,0,service always bad
02-Aug-24,Iselco still has no improvements until now,Negative,-0.2411,iselco no improvement
02-Aug-24,"This Quezon, Mallig, Roxas is the only one who always loses power",Negative,-0.3182,always loses power
02-Aug-24,"The problem with your service has been like that for decades, no innovation",Negative,-0.3365,problem service
02-Aug-24,"Very poor costumer service, they do not give back the money paid",Negative,-0.5256,poor service
02-Aug-24,The bill were greatly increased,Negative,0.3384,bill increase
02-Aug-24,The billing is too high,Negative,0,bill high
02-Aug-24,iselco destroys appliances,Negative,-0.5574,destroy appliance
02-Aug-24,"Please update us Iselco, not the sudden brownout",Negative,0.3182,sudden brownout
02-Aug-24,A little fog and brownout already,Negative,0,little fog brownout already
02-Aug-24,Worst service of all,Negative,-0.6249,bad service
02-Aug-24,Services are not good enough,Negative,-0.3412,service not good
02-Aug-24,Why have penalty and overcharge?,Negative,-0.4588,penalty overcharge
02-Aug-24,There is no quality in your service,Positive,-0.296,no quality service
02-Aug-24,Most Power Interruption of ALL TIME,Negative,-0.4173,power interruption
02-Aug-24,Iselco what people need is to lower the price of electricity.,Neutral,-0.296,need low price electricity
02-Aug-24,"the bill is too high, and please provide an automatic electric reader",Neutral,0.3182,provide automatic electric reader
02-Aug-24,I hope the constant brownout will be lessened,Neutral,0.4404,hope constant brownout less
02-Aug-24,Cooperative who does not care about the member,Negative,-0.3875,cooperative not care
02-Aug-24,Improve on payment system. Payment should be available online.,Neutral,0.4404,improve payment system
02-Aug-24,"Until now, the reading is still handwritten",Neutral,0,reading still hand written
02-Aug-24,"Please change the electric reading, it is still handwritten",Neutral,0.3182,please change electric reading
02-Aug-24,consumers need lower power rates,Negative,-0.296,need low power rate
02-Aug-24,Stabilize electricity. Appliances are damaged because of weak electricity,Negative,-0.7003,appliance damage weak electricity
02-Aug-24,power interruption every day,Negative,-0.3612,power interruption everyday
02-Aug-24,You are not responsible Iselco you have not been contacted yet,Negative,-0.2411,not responsible iselco
02-Aug-24,Your service is very messed up Iselco,Negative,-0.4005,service mess
02-Aug-24,Thank you Iselco for your quick service,Positive,0.3612,thank quick service
02-Aug-24,Hotline is very helpful,Positive,0.4754,hotline helpful
02-Aug-24,Customer service representatives has bad attitude,Negative,-0.5423,customer service representative bad attitude
02-Aug-24,You charge us too high but your service is not so good,Negative,-0.6178,charge high service not good
02-Aug-24,The fees are too high and frequent power trippings,Negative,0,frequent power tripping
02-Aug-24,The electric charge is too high but still frequent brown out happens,Negative,0,electric charge high frequent brownout
02-Aug-24,As long as it rains brownout immediately,Negative,0,rain brownout immediately
02-Aug-24,"Iselco, four times brownout again, fix your service, the light is off",Negative,0,brownout fix service
03-Aug-24,we demand that you explain to us the causes of the repeated brownout.,Neutral,-0.128,demand explain
04-Aug-24,always brownout wether rain or shine,Negative,0,always brownout
04-Aug-24,Iselco is mandating to pay on time to improve service but no changes at all,Neutral,-0.2617,improve service
04-Aug-24,"always brownout, improve your service because the bill is high and then your service is low",Negative,0.2023,always brownout improve
04-Aug-24,iselco employees are useless and worthless,Negative,-0.6908,useless worthless
04-Aug-24,"General manager of iselco, can you leave the office because you do not deserve the office",Negative,-0.0516,not deserve office
04-Aug-24,"iselco employees are useless, conducting power outage so many times tonight",Negative,-0.4215,employee useless
05-Aug-24,Costumer service is not responding,Negative,0,costumer service not respond
06-Aug-24,ISELCO has continuously pleased me with their timely and friendly service,Positive,0.7269,friendly service
07-Aug-24,Their employees are always welcoming and willing to help.,Positive,0.6808,always welcome willing help
08-Aug-24,Always brown out and there is no notice,Negative,-0.296,always brownout
08-Aug-24,Always brownout in night and can reached up to four times a night and there is no notice,Negative,-0.2023,always brownout night
08-Aug-24,"The power is always off, it is destroying the appliancess",Negative,-0.5574,power always destroy appliance
09-Aug-24,"The power is alwaysdead, it is also pitiful for childrens and also appliances",Negative,-0.4939,power always dead
09-Aug-24,We are paying the right way but your service is very dissapointing,Negative,0,pay right way service dissapointing
09-Aug-24,So what time do you plan to light it up? poor children,Negative,-0.4767,poor child
09-Aug-24,"so disappointing, the unexpected brownout always",Negative,-0.5413,disappoint unexpected brownout
10-Aug-24,"Your services are really corny, you are worthless.",Negative,-0.4404,system rotten
11-Aug-24,This by far is the worst experience we had.,Negative,-0.6249,service worthless
11/08/2024,Poor linemen,Negative,-0.4767,bad experience
12-Aug-24,"Iselco is useless, you should scheduled preventive maintenance on the power line.",Negative,-0.4215,poor linemen
12-Aug-24,fix your work properly your electricity bill is expensive but brownout almost every day,Negative,0,useless maintenance power line
12-Aug-24,be kind enough to give an update. This is so underwhelming.,Neutral,0.5267,fix properly electricity bill expensive
12-Aug-24,Your maintenance should be fast,Positive,0,kind enough give update
15-Aug-24,INCONSIDERATE,Negative,-0.4404,maintenance fast
16-Aug-24,It is not worth what we consumers pay you.,Negative,-0.2654,steal electricity
16-Aug-24,the electric charge is big yet your service is rotten.,Negative,-0.5106,inconsiderate
16-Aug-24,You posted a power interruption very late,Negative,-0.3612,not worth consumer pay
18-Aug-24,You always schedule brownout but can not fix service! You destroy appliances,Negative,-0.722,every day power interruption
19-Aug-24,"You are good at brownout Iselco, you do not update right away",Negative,0.4404,electric charge big service rotten
19-Aug-24,you are really good at annoying people,Negative,0.0591,post power interruption late
20-Aug-24,brownout could have been prevented if the team will be more proactive,Negative,0.4927,always brownout service destroy appliance
20-Aug-24,We understand linemen,Neutral,0,brownout not update
20-Aug-24,Your service is trash until now there is still no power!,Negative,-0.3595,really annoy people
20-Aug-24,I noticed that there are frequent power interruptions; please address this.,Negative,-0.1027,always brownout
22-Aug-24,I hope to see improvements in communication regarding outages.,Neutral,0.6369,always brownout especially ilagan
22-Aug-24,Charge is too high and always brown out,Negative,0,brownout
22-Aug-24,"Poor service, frequent brown out is destroying our appliances",Negative,-0.7717,fix take long time
22-Aug-24,Hello Iselco please fix the service.,Neutral,0.3182,understand linemen
22-Aug-24,applaud the cashier of Manuel sub office for returning my excess payment,Positive,0.4588,service trash
22-Aug-24,always brownout causing too much inconvenience to all your consumers.,Negative,-0.3612,frequent power interruption
23-Aug-24,the grievances of the people should be taken care.,Positive,0.1779,hope see improvement communication
24-Aug-24,"The cost per kilowatt is expensive, but power outages are frequent.",Negative,0,service okay
24-Aug-24,Line men are very responsive,Positive,0.4201,poor service sudden brownout
24-Aug-24,Representatives provides basic information,Positive,0,charge high always brownout
24-Aug-24,The line men is very responsive in responding on the cable line that is cut,Positive,0.1761,poor service frequent brownout destroy appliance
24-Aug-24,"Fix the power shortage already, it is destroying the appliances",Negative,-0.6808,fix service
24-Aug-24,Are you tripping? The air just started blowing and it is already brownout,Negative,0,applaud cashier return excess payment
24-Aug-24,"This is already the second brown out this night, poor children",Negative,-0.4767,salute iselco work hard
24-Aug-24,"Even without storm, brownout still happens",Negative,0,always brownout inconvenient
24-Aug-24,The action of ISELCO is taking too long,Negative,0,hope update consumer
24-Aug-24,Power interruption started at night and they only gave noticed late,Negative,-0.3612,take care
24-Aug-24,"Thanks to the line man that are always fixing, take care always",Positive,0.7269,cost expensive power outage frequent
25-Aug-24,"Thank you very much to the management of ISELCO, long live!",Positive,0.4199,linemen responsive
25-Aug-24,You are very much appreciated for caring about the member consumers. God bless.,Positive,0.8928,representative provide information
25-Aug-24,hoping that we will be noticed and the electricity rate will be lowered.,Neutral,0.3182,linemen responsive
25-Aug-24,Congratulations for the excellent management and service of the leaders of ISELCO,Positive,0.8225,fix power shortage destroy appliance
25-Aug-24,thank you very much. Hoping the good management will continue. Long live ISELCO,Positive,0.8166,air blow already brownout
25-Aug-24,Thank you for your service ISELCO. God bless us all,Positive,0.7506,brownout poor child
25-Aug-24,"Thank you, we hope that our request will be cleared.",Positive,0.7003,without storm brownout happens
25-Aug-24,Thank you to the current leader of ISLECO today,Positive,0.3612,service appreciate
25-Aug-24,"Nice job, the voltage is being consistent and electricity is stable.",Positive,0.6124,keep safe isleco
25-Aug-24,hardwork and dedication to improve your services are appreciated,Positive,0.7351,miss announcement power interruption
25-Aug-24,Thanks for the program of ISELCO,Positive,0.4404,action take long
25-Aug-24,You are always late when giving us a notice on power shortage,Negative,0.1027,power interruption
26-Aug-24,Thank you for the significant reduction in power rates,Positive,0.5106,thank linemen always fix
26-Aug-24,"hoping that you do your best,  and give best quality service to the consumers. Thank you.",Positive,0.9287,congratulation leadership excellent service
27-Aug-24,The brownout is frequent causing damage to our appliances.,Negative,-0.4939,gratitude genuine concern
27-Aug-24,the power outage keeps happening repeatedly,Negative,0,thank much management
27-Aug-24,constant brownout might start fire,Negative,-0.34,appreciate care member consumer
27-Aug-24,It is like you keep causing power outages repeatedly,Negative,0.3612,hope electricity rate lower
28-Aug-24,"It is too much, there is a power outage here in Quezon every dawn.",Negative,0,congratulation excellent management leader
28-Aug-24,Thank you very much Iselco for continuously lowering the electricity bill.,Positive,0.128,thank much
28-Aug-24,Salute for your dedication and efforts in helping consumers pay lower rates,Positive,-0.1027,thank service
28-Aug-24,Thankyou Iselco! Stay safe and Godbless!,Positive,0.5399,thank request clear
28-Aug-24,Service has not improved and remains poor,Negative,-0.6862,thank leader isleco
28-Aug-24,"Since ISELCO was established, there have been continuous brownouts until now.",Negative,0,habit cut electricity
28-Aug-24,"Iselco, I am having trouble breathing",Negative,-0.4019,consistent electricity stable
28-Aug-24,Very unprofesional costumer service representatives,Negative,0,consumer deserve kind service
28-Aug-24,"Hopefully, the electricity service will be restored soon. Thank you",Neutral,0.765,hard work dedication improve service appreciate
28-Aug-24,"Make time to be with your family too, Iselco. God bless.",Neutral,0.5994,thank program
28-Aug-24,I do appreciate your hardwork and dedication to improve your services.,Positive,0.6808,always late give notice
30-Aug-24,Iselco no one is happy with you!,Negative,0.4199,good job update
30-Aug-24,The customer service representatives are always friendly and helpful.,Positive,0.7184,thank significant reduction power rate
30-Aug-24,ISELCO has greatly improved their response time to customer inquiries.,Positive,0.5256,wire entangle need clearing
30-Aug-24,I appreciate the transparency in your billing process; it makes everything clearer.,Positive,0.4019,high amount bill
31-Aug-24,The hotline is very accommodating and always available when I need assistance.,Positive,0,best quality service
31-Aug-24,"No improvement, still bad service",Negative,-0.7167,brownout frequent damage appliance
31-Aug-24,"Nothing changed, still bad service",Negative,0.431,power outage keep happen
31-Aug-24,"The power outage again, you never change ISLECO.",Negative,0,constant brownout
31-Aug-24,"Iselco, you keep damaging appliances because of brownouts, your service is unreliable",Negative,-0.5106,power outage repeatedly
31-Aug-24,All day without electric power,Negative,0,power outage every dawn
31-Aug-24,When is the next power outage,Neutral,0,thank much iselco continuously low electricity bill
31-Aug-24,Brownout again always like this.,Negative,0.3612,thank much god bless iselco management
31-Aug-24,"There was no electricity all day yesterday, and even today",Negative,-0.296,salute dedication effort
31-Aug-24,"Hopefully, give advance notice.",Positive,0.4019,thank iselco stay safe
31-Aug-24,You are only fast when there is a penalty but your service is slow,Negative,-0.25,service not improve remain poor
31-Aug-24,You should have posted last night for power outage,Negative,0,keep safe iselco thank
31-Aug-24,"consumers pay correctly, and that is the service you provide",Negative,-0.1027,continuous brownout
31-Aug-24,Power outage every day.,Negative,0,thief iselco rotten corupt
31-Aug-24,policy stated that there should be advance notice before any power outage,Neutral,0,trouble breathing
31-Aug-24,"power outages every day, you are not even ashamed.",Negative,0.3724,unprofesional costumer service
31-Aug-24,Your power outages are frequent and your charges are high,Negative,-0.2732,hope electricity restore
02-Sep-24,The food we placed in the refrigerator will spoil because of frequent power outages.,Negative,0,make time family iselco
03-Sep-24,Nice information iselco super accurate,Positive,0.7717,appreciate hardwork dedication
